OBJECTID,SPECIES_CO,SPECIES_BO,WATERGAS,GSLENGTH,GSWIDTH,ADDRESS,STREET,SUFFIX,SIDE,SITE,ONSTR,FROMSTR,TOSTR,X,Y,LATITUDE,LONGITUDE,GlobalID,SiteUsage,Quadrant,MgmtDesignation,x2,y2
6416,"Planetree, London",Platanus hybrida,No,0,0,552,HARRISBURG AVE, ,Front,0,HARRISBURG AVE, , ,2370769.719,263420.124,40.04746274,-76.31307684,eecb0e95-6072-4d66-91e0-2931e8dddfce,Tree,NWQ,Street,-76.31307684,40.04746274
7578,Vacant site unsuitable,Vacant site unsuitable,No,6,5,198,W LIBERTY ST, ,Side,0,N WATER ST, , ,2371122.583,264986.1776,40.0517454,-76.31172552,8bf8e142-d25d-496a-8360-2c70869fc3de,Vacant,NWQ,Street,-76.31172552,40.0517454
7529,"Pear, Callery 'Bradford'",Pyrus calleryana 'Bradford',No,0,0,350,W LIBERTY ST, ,Median,0,W LIBERTY ST, , ,2370352.786,264898.9511,40.05154037,-76.31448001,1f14e39e-3352-41bf-8cbe-45806592bff1,Tree,NWQ,Street,-76.31448001,40.05154037
2715,"Honeylocust, Thornless",Gleditsia triacanthos inermis,No,0,0,731,N DUKE ST, ,Side,0,E CLAY ST, , ,2372951.885,264418.7795,40.05010607,-76.30522508,5dabc0b9-c047-4e4b-9181-88203e660325,Tree,NEQ,Street,-76.30522508,40.05010607
2076,Vacant site unsuitable,Vacant site unsuitable,Yes,9,3,818,N PLUM ST, ,Front,0,N PLUM ST, , ,2374559.541,264917.0206,40.05140128,-76.29945405,d79124b2-0a65-463a-8154-f29dec3da03e,Vacant,NEQ,Street,-76.29945405,40.05140127
8740,Serviceberry,Amelanchier species,No,0,0,1060,N CHARLOTTE ST, ,Median,0,THOMAS M ARMSTRONG BLVD, , ,2370156.693,265269.6658,40.05256664,-76.31515887,418303a0-8730-4af0-aa55-0915ea493202,Tree,NWA,Street,-76.31515887,40.05256664
8242,Plum,Prunus species,No,0,0,120,N FRANKLIN ST, ,Front,0,N FRANKLIN ST, , ,2376776.062,261347.9861,40.04150499,-76.29174803,b9e115fe-13d9-4354-97e7-ac2e6467a33a,Tree,NEQ,Street,-76.29174803,40.04150499
8574,"Dogwood, Kousa",Cornus kousa,No,0,0,620,N PRESIDENT AVE, ,Median,0,N PRESIDENT AVE, , ,2367114.86,263655.1656,40.04827037,-76.32611633,317ea6b1-68ac-4382-a10d-166e1ea0373b,Tree,NWQ,Street,-76.32611633,40.04827037
9736,"Ash, Green",Fraxinus pennsylvanica,No,0,0,901,BUCHANAN AVE, ,Side,0,OLD MAIN DR, , ,2368642.644,262635.1386,40.0454029,-76.32071888,df7ce628-b506-43d7-b2fb-98c0d72a6543,Tree,NWQ,Park,-76.32071888,40.0454029
6533,Vacant site unsuitable,Vacant site unsuitable,Yes,7,4,543,N PINE ST, ,Front,0,N PINE ST, , ,2369584.68,262886.1045,40.04604984,-76.31734004,f7e111e7-f5e0-4920-8d78-632bbda9d009,Vacant,NWQ,Street,-76.31734004,40.04604984
6582,"Pear, Callery 'Bradford'",Pyrus calleryana 'Bradford',No,0,0,418,W FREDERICK ST, ,Side,0,LANCASTER AVE, , ,2370201.945,263039.1788,40.04644248,-76.3151267,e0530642-c727-4008-bea5-dd3150af1d5a,Tree,NWQ,Street,-76.3151267,40.04644248
6367,"Linden, Littleleaf",Tilia cordata,No,0,0,351,W JAMES ST, ,Side,0,N CHARLOTTE ST, , ,2370510.407,263000.4709,40.04632248,-76.31402732,688e5db1-e679-419d-9c78-b274d1335874,Tree,NWQ,Street,-76.31402732,40.04632247
3379,"Pear, Callery 'Bradford'",Pyrus calleryana 'Bradford',No,0,0,252,N QUEEN ST, ,Front,0,N QUEEN ST, , ,2372607.557,261624.7218,40.04245254,-76.30661798,107314d7-1db1-420f-93bf-4aec13f22299,Tree,NWQ,Street,-76.30661798,40.04245254
5537,"Lilac, Japanese Tree",Syringa reticulata,Yes,0,0,8,E WALNUT ST, ,Front,0,E WALNUT ST, , ,2372728.694,261709.1746,40.04267891,-76.30618046,1d64ca18-2b94-492e-8881-f98bf358b154,Tree,NEQ,Street,-76.30618046,40.0426789
5420,"Maple, Paperbark",Acer griseum,Yes,0,0,238,E WALNUT ST, ,Front,0,E WALNUT ST, , ,2374215.558,261927.3722,40.04321095,-76.30085785,9e2a5791-c485-4636-958c-8acda7c9fe2e,Tree,NEQ,Street,-76.30085785,40.04321095
3711,"Honeylocust, Thornless",Gleditsia triacanthos inermis,No,0,0,221,E LEMON ST, ,Front,0,E LEMON ST, , ,2374076.924,262419.6486,40.04456837,-76.3013241,507524f6-3b53-47c2-a9d1-f1e3e6356a85,Tree,NEQ,Street,-76.3013241,40.04456837
5371,"Maple, Red",Acer rubrum,No,0,0,333,N LIME ST, ,Front,0,N LIME ST, , ,2373779.366,262263.0599,40.04415197,-76.30239592,4629a608-73cf-43c6-b22d-8b6ffa4f0daa,Tree,NEQ,Street,-76.30239592,40.04415197
